Price1,Price2,Price3,Price4,Date
78.96550164709903,95.10374353939915,88.41162800268253,112.46348509576376,2023-03-02
78.94931777395492,95.08375920420103,88.44547913510836,112.4489037514294,2023-03-03
78.95659231481613,95.13450443019123,88.37835189849483,112.40837104852416,2023-03-04
78.95791570307765,95.08683094447885,88.3988325001236,112.42897242614778,2023-03-05
78.96441389102209,95.12025486853798,88.41077379288,112.45757479898977,2023-03-06
78.94891489763486,95.08378707822212,88.42437088819975,112.45662385946233,2023-03-07
78.96731737752023,95.11132401216672,88.42089045372606,112.4605173817208,2023-03-08
78.97627068729558,95.09823803630198,88.41348328004435,112.44680869312985,2023-03-09
78.97012329312521,95.10230084178274,88.43117166503532,112.44069264821805,2023-03-10
78.96160645633401,95.0888269830112,88.41375772711379,112.44962650353487,2023-03-11
78.97319756627085,95.08419032294769,88.42885592144758,112.44268993831705,2023-03-12
78.95496717787582,95.07868291401911,88.39207963582389,112.43120387871954,2023-03-13
78.96102471856753,95.11022702094728,88.44200719508237,112.4848335925484,2023-03-14
78.94295049218454,95.06778865422771,88.39957113765112,112.43613891810946,2023-03-15
78.96082449807726,95.08992242302011,88.43856879285974,112.4336670637885,2023-03-16
78.9784422266049,95.11130305038402,88.42991668581162,112.46893866206864,2023-03-17
78.96976536101238,95.11471925808003,88.44113562260274,112.4625983717791,2023-03-18
78.9684039949618,95.10891719360824,88.40715786796835,112.4057890682234,2023-03-19
78.94685340516068,95.08606155376545,88.41895157095426,112.43116895264593,2023-03-20
78.98150610698956,95.18751656164018,88.45917066600869,112.52256903639137,2023-03-21
78.95998556568134,95.10985696572628,88.41913507451083,112.43194861340092,2023-03-22
78.96039688491302,95.11555074238088,88.39573809230849,112.45513827628598,2023-03-23
78.95921402691528,95.11505471727375,88.4010855920799,112.42767068249962,2023-03-24
78.98094248596509,95.06998985563098,88.41049423773933,112.43950986451766,2023-03-25
78.97058748576671,95.08620052944825,88.42868082044154,112.45753771875222,2023-03-26
78.96661496155106,95.08162749094019,88.39750827601596,112.43937081982445,2023-03-27
78.99801043172091,95.06905645788797,88.41042035787174,112.43574970690585,2023-03-28
78.96537849116449,95.11870991679962,88.4559540256635,112.4533134784108,2023-03-29
78.96827120472686,95.0897339015665,88.41238825135186,112.44463181119141,2023-03-30
78.96828408046709,95.11334394431417,88.42100873074091,112.43050591328931,2023-03-31
78.96351156590511,95.11386243529537,88.453678581854,112.46410276377956,2023-04-01
78.9642430532805,95.11454832722863,88.46191017048719,112.39945118371952,2023-04-02
78.96953123385771,95.11067955030806,88.40188654439626,112.47100875734485,2023-04-03
78.97787411411144,95.10378921701871,88.43103849935684,112.41710489053307,2023-04-04
78.95734935497522,95.07476712087811,88.42326944002288,112.4340499051785,2023-04-05
78.97190854123637,95.09628037767015,88.40454282432063,112.43232376001953,2023-04-06
78.97208927623014,95.1003165644745,88.42489248901146,112.41913408603936,2023-04-07
78.96746046908005,95.07801602153633,88.43738311844909,112.45242585181366,2023-04-08
78.9458209146799,95.09026263468478,88.39916844994666,112.41460034156205,2023-04-09
78.97188121287542,95.09653489636877,88.43169120932937,112.47443960840728,2023-04-10
78.96048834605129,95.08943829518194,88.40759698720282,112.43764214630164,2023-04-11
78.96470581633884,95.11302776909578,88.41638179834646,112.43476491163295,2023-04-12
78.97739206655032,95.09809192997601,88.43401101595074,112.4498789670952,2023-04-13
78.9788391278524,95.11084260874325,88.40405328259605,112.45869294337164,2023-04-14
78.98307970114163,95.10971125334926,88.43937402830265,112.43798160067023,2023-04-15
78.95829494417924,95.10460152650407,88.44360289479798,112.45503375220709,2023-04-16
78.97641505306248,95.09680495222418,88.38630549066536,112.45412287813356,2023-04-17
78.98565923849041,95.1182777291042,88.43720355588059,112.4976873098865,2023-04-18
78.9146590879693,95.0736269794187,88.40911160733147,112.4677858190294,2023-04-19
78.97663205006656,95.11382118792214,88.43116031751886,112.43273405240323,2023-04-20
78.93470964772969,95.0687672378037,88.39382592403294,112.37046557895388,2023-04-21
78.96037567814473,95.11561084260849,88.4174468136013,112.43942430678977,2023-04-22
78.98039153379395,95.13363069323849,88.42007574497781,112.43205687162039,2023-04-23
78.960563170142,95.11590995101984,88.41612044605571,112.44859144685316,2023-04-24
78.95689359352001,95.08331049665368,88.4041642497562,112.44636579037103,2023-04-25
78.94893010943493,95.0884961084771,88.37663348644016,112.43844944078887,2023-04-26
78.96903801827479,95.11795887913237,88.42763624225893,112.43410167684598,2023-04-27
78.94967594539305,95.12328492618512,88.42421921677563,112.47400661862197,2023-04-28
78.96409576162299,95.11227924017028,88.42525064736967,112.43038123094756,2023-04-29
78.97439472186393,95.0903003788925,88.44362023180975,112.46227054797063,2023-04-30
78.9764121360717,95.07332071356531,88.43033326731867,112.41115771485651,2023-05-01
